cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27
0,El,Peel,Meel,Telo,beljos,Yael,Feliz,celo,elc,"vi-exelamou
MIanovel",sohel,Amel,cnraelio,dauelh,telc,,,,,,,,,,,,,
1,Dentro,Entrei,Entron,Detro,,,,,,,,,,,,,,,,,,,,,,,,
2,le,Tableu,Crle,lem-,let,GLEg,qtle,lE,Cle,Snuihleld,souleds,oflerecsu,leny,,,,,,,,,,,,,,,
3,bom rir,iri,seeretairia,Imiria,Irins,"u2-
recairi",spirituose.-,"oe
nrir",virinde,,,,,,,,,,,,,,,,,,,
4,possiel,Ipossiveis,inipossiel,Posso,posigcoes,"obieets de
impossivel enumeracio",,,,,,,,,,,,,,,,,,,,,,
5,mo,Iivrmo,irmo,Mos-,mods:-Ah,Mo,moenul,,,,,,,,,,,,,,,,,,,,,
6,ibeira,verdudeira,Ribeira,Queira,tonselheira om,traicoeira emboscada,engommadeira,ligeirama,bein,,,,,,,,,,,,,,,,,,,
7,NAMILI INGLEZA,IM RAMILI INGLEZA,"RAILI INGLEZA1
Phrase insignilicante",MA FAMIILI INGLEEA,MA RMIIL.I IN6LEZA,PILI INGLEZA,"IILI INGLIEZIA
3I",PAMILI INGLBEA,"FAMILI1 INGLEIA
hem fraca",ILI INCLEZA,"FMILI INGLEZA
3s
p","MA AMILI INGLEEA
I1",,,,,,,,,,,,,,,,
8,thesouro dos,procisso dos,hem dos oulros,lerro d0,cmpo dos alliados,Douro,Souhe,,,,,,,,,,,,,,,,,,,,,
9,Ite,iterroleu,Anoitece,Jupiter,biter,Ith,Itr,Umanoite,itesl,diter,,,,,,,,,,,,,,,,,,
10,Achilles,"escudo de
Achilles",Boxhill,Cachimbo,,,,,,,,,,,,,,,,,,,,,,,,
11,escripl,escripturaco d0s liro,descripgao,ul co  escripiuicao,escripluragao,Escriplura,escripturaeo?-,escriporio,escript,,,,,,,,,,,,,,,,,,,
12,pe,"pei
gosa","pe
iicipe",peccdo,i pdie  pe,pee.-,0O,chatpeo,"pe
jtr",Cumpe,Apeidge,peeurls9,peco,chapeo,,,,,,,,,,,,,,
13,"taio de madrugadal
-Encarreguei-me",Encarrego,encardenagi5es,go otuir tma carrugem,rreganhol,,,,,,,,,,,,,,,,,,,,,,,
14,Anniaha,Iniar,nia,irginia,extrenia,Anlnia,niaiee:.;gEE,ainia,I4,nia o er,ne opinia .es,genia,,,,,,,,,,,,,,,,
15,Eramn,Deramn,examne,,,,,,,,,,,,,,,,,,,,,,,,,
16,iralaho honridao,gratidao,Tu hon ves ue,Honris,iralaho,,,,,,,,,,,,,,,,,,,,,,,
